"","VISIT_ID","SITE_ID","VISIT_NO","DATE_COL","NTL_PPM","PTL_PPB","SITE_TYPE","ECO_REG","ECO_REG_NAME","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","tn.tp","TN_mol","TP_mol"
"779",2010970,"NLA17_OR-HP10201",1,"10-Oct-17",7.8016,NA,"HAND","XER","Xeric",-120.24223,42.54279,"Region_10",0,"Non-Urban","NATURAL",16396.68,1298.12,"H17120006","NLA_OR-10277",NA,0.000556978653530378,NA
"780",2010971,"NLA17_AZ-10041",1,"2-May-17",0.549,39.3925,"PROB","XER","Xeric",-114.4632,32.8183,"Region_09",4.048466484,"Non-Urban","MAN_MADE",155.1764,47,"H15030107","NLA_AZ-10122",30.8182255292575,3.91946883701007e-05,1.27180224354225e-06
"781",2010972,"NLA17_AZ-10035",1,"11-May-17",0.725,39.90375,"PROB","XER","Xeric",-111.9076,33.5115,"Region_09",2.875934828,"Urban","MAN_MADE",5.071316,383,"H15060106","NLA_AZ-10117",40.1765947006672,5.175983436853e-05,1.28830814941293e-06
"782",2010973,"NLA17_AZ-10003",1,"16-May-17",0.369,7.1725,"PROB","XER","Xeric",-114.7199316,33.39629762,"Region_09",4.031366544,"Non-Urban","NATURAL",55.00642,69,"H15030104","NLA_AZ-10019",113.76394337574,2.6343970871707e-05,2.31566963046437e-07
"783",2010974,"NLA17_AZ-10001",1,"25-May-17",0.555,21.8125,"PROB","XER","Xeric",-111.5241,33.5693,"Region_09",4.785734892,"Non-Urban","MAN_MADE",373.4884,459,"H15060106","NLA_AZ-10016",56.2647465751856,3.96230456200471e-05,7.04225079323863e-07
"784",2010975,"NLA17_MI-10030",1,"31-May-17",0.609,8.415,"PROB","UMW","Upper Midwest",-83.3604,43.11811,"Region_05",64.48416208,"Urban","NATURAL",19.48981,242,"H04080204","NLA_MI-10156",160.033904249658,4.34782608695652e-05,2.71681560688152e-07
"785",2010976,"NLA17_SD-10001",1,"1-Jun-17",0.271,11.77125,"PROB","NPL","Northern Plains",-100.7009,44.6471,"Region_08",8.829541149,"Urban","MAN_MADE",125497.4,490,"H10130105","NLA_SD-10005",50.9091136341931,1.93474691225816e-05,3.80039402406465e-07
"786",2010977,"NLA17_MI-10095",1,"1-Jun-17",0.454,6.2,"PROB","TPL","Temperate Plains",-83.41718,43.39358,"Region_05",120.8517139,"Urban","MAN_MADE",2.242593,226,"H04080201","NLA_MI-10187",161.924659180686,3.24123652459485e-05,2.00169420827872e-07
"787",2010978,"NLA17_MI-10006",1,"1-Jun-17",0.648,12.51625,"PROB","UMW","Upper Midwest",-83.31021,42.74499,"Region_05",756.5902249,"Urban","NATURAL",11.22241,298,"H04050001","NLA_MI-10036",114.485267957703,4.62625829942172e-05,4.04092018296266e-07
"788",2010979,"NLA17_VA-10008",1,"1-Jun-17",0.505,15.03625,"PROB","SAP","Southern Appalachians",-80.39017,36.67434,"Region_03",23.7744698,"Non-Urban","MAN_MADE",50.48572,769,"H03010103","NLA_VA-10050",74.2678186884967,3.60534018704933e-05,4.85451202245659e-07
"789",2010980,"NLA17_MI-10004",1,"2-Jun-17",0.655,13.18125,"PROB","UMW","Upper Midwest",-83.50544,42.61886,"Region_05",185.2199585,"Urban","NATURAL",30.03727,285,"H04030108","NLA_MI-10005",109.883764931542,4.67623331191547e-05,4.25561802949578e-07
"790",2010981,"NLA17_VA-HP003",1,"2-Jun-17",0.211,13.58375,"HAND","SAP","Southern Appalachians",-79.819212,37.315287,"Region_03",0,"Non-Urban","MAN_MADE",28.37732,586.51,"H03010101","NLA_VA-10003",34.3488027066828,1.5063896623117e-05,4.38556672608161e-07
"791",2010982,"NLA17_FL-10035",1,"1-Jun-17",6.663,279.83,"PROB","CPL","Coastal Plains",-82.43352,27.70463,"Region_04",461.0072203,"Urban","MAN_MADE",3.189221,2,"H03100203","NLA_FL-10127",52.6531513197649,0.000475690726065539,9.03442081133279e-06
"792",2010983,"NLA17_VA-HP001",1,"5-Jun-17",0.248,5.21375,"HAND","SAP","Southern Appalachians",-79.227717,38.328785,"Region_03",0,"Non-Urban","MAN_MADE",20.08454,617.2,"H02070005","NLA_VA-10002",105.184151089904,1.77054329977868e-05,1.68327954490535e-07
"793",2010984,"NLA17_SD-10067",1,"5-Jun-17",1.924,757.213,"PROB","NPL","Northern Plains",-100.5653,44.0196,"Region_08",57.4098447,"Non-Urban","MAN_MADE",4.000729,648,"H10140102","NLA_SD-10208",5.61869987290272,0.00013735989148283,2.44469173634412e-05
"794",2010985,"NLA17_KS-10007",1,"5-Jun-17",0.418,14.0125,"PROB","TPL","Temperate Plains",-94.78202,39.16654,"Region_07",12.61399474,"Urban","MAN_MADE",124.571,253,"H10240011","NLA_KS-10060",65.9643799365208,2.98422217462697e-05,4.52399033766218e-07
"795",2010986,"NLA17_MI-10078",1,"6-Jun-17",0.716,34.52375,"PROB","UMW","Upper Midwest",-85.9603,43.64014,"Region_05",64.48416208,"Non-Urban","NATURAL",15.98892,241,"H04060101","NLA_MI-10170",45.8610387782848,5.11172984936103e-05,1.11461274875907e-06
