"","VISIT_ID","NTL_PPM","PTL_PPB","SITE_ID","VISIT_NO","DATE_COL","SITE_TYPE","LON_DD","LAT_DD","EPA_REG","WGT_NLA","URBAN","LAKE_ORIGIN","AREA_HA","ELEV_PT","HUC_8","UNIQUE_ID","AGGR_ECO9_2015","CHLA_COND","NTL_COND","PTL_COND","TROPHIC_STATE","tn.tp","TN_mol","TP_mol"
"45",1000070,0.619,18,"NLA12_MI-104",1,"7/17/2012","PROB",-86.04479965,42.37792782,"Region_5",113.4000018,"No","NATURAL",109.0730023,203.67,4050002,"NLA_MI-10066","UMW","Good","Good","Good","Mesotrophic",76.0443535246742,4.4192189619476e-05,5.8113702820995e-07
"46",1000071,0.296,9,"NLA12_VT-104",1,"7/17/2012","PROB",-73.0524672,43.89113168,"Region_1",82.51229997,"No","MAN_MADE",41.12620274,384.73,2010002,"NLA_VT-10006","NAP","Good","Good","Good","Mesotrophic",72.7273946471843,2.11322909973585e-05,2.90568514104975e-07
"47",1000072,0.781,49,"NLA12_MI-120",1,"7/17/2012","PROB",-86.47416191,41.79511788,"Region_5",137.3026588,"No","NATURAL",4.425981362,209.88,4040001,"NLA_MI-10087","UMW","Good","Fair","Poor","Eutrophic",35.2455086165926,5.57578353680303e-05,1.58198413234931e-06
"48",1000073,0.97,49,"NLA12_TX-103",1,"7/17/2012","PROB",-101.7171387,35.58232959,"Region_6",7.741669458,"Yes","MAN_MADE",6559.394263,894.9,11090105,"NLA_TX-10023","SPL","Good","Poor","Fair","Eutrophic",43.7748314444236,6.92510887413436e-05,1.58198413234931e-06
"49",1000075,1.236,30,"NLA12_MI-152",1,"7/18/2012","PROB",-85.63804424,42.75737274,"Region_5",137.3026588,"Yes","NATURAL",9.663838158,240.06,4050006,"NLA_MI-10119","UMW","Good","Poor","Fair","Eutrophic",91.1058038350539,8.82415934889698e-05,9.6856171368325e-07
"50",1000076,0.395,10,"NLA12_MI-128",1,"7/18/2012","PROB",-85.70757399,42.20474298,"Region_5",64.68475929,"Yes","NATURAL",59.29438337,272.05,4050003,"NLA_MI-10095","UMW","Good","Good","Good","Mesotrophic",87.3465837738988,2.8200185621475e-05,3.22853904561083e-07
"51",1000079,3.663,23,"NLA12_MI-168",1,"7/19/2012","PROB",-85.11502111,42.78409894,"Region_5",68.23819077,"Yes","NATURAL",36.97647575,247.07,4050007,"NLA_MI-10135","UMW","Good","Poor","Good","Eutrophic",352.174503427398,0.000261512101092311,7.42563980490492e-07
"52",1000080,0.79,38,"NLA12_MI-112",1,"7/19/2012","PROB",-85.31406375,41.94278644,"Region_5",12.79786549,"No","NATURAL",195.7958733,258.64,4050001,"NLA_MI-10013","UMW","Good","Fair","Fair","Eutrophic",45.9718861967888,5.640037124295e-05,1.22684483733212e-06
"53",1000081,0.588,15,"NLA12_MI-115",1,"7/19/2012","PROB",-85.57428357,42.18639352,"Region_5",113.4000018,"Yes","NATURAL",131.8145051,260.47,4050003,"NLA_MI-10046","UMW","Good","Good","Good","Mesotrophic",86.6831919984008,4.19790104947526e-05,4.84280856841625e-07
"54",1000082,0.019,24,"NLA12_WI-131",1,"7/18/2012","PROB",-89.38901466,45.97188548,"Region_5",109.2550465,"No","NATURAL",116.9707289,498.67,7070001,"NLA_WI-10066","UMW","Good","Good","Good","Eutrophic",1.75061718534185,1.35646462483044e-06,7.748493709466e-07
"55",1000083,0.89,35,"NLA12_WI-154",1,"7/16/2012","PROB",-89.17936483,45.39105151,"Region_5",307.2557803,"No","NATURAL",1.656868354,517.88,4030202,"NLA_WI-10089","UMW","Good","Fair","Fair","Eutrophic",56.2303504945894,6.35396587420575e-05,1.12998866596379e-06
"56",1000084,0.723,59,"NLA12_NE-109",1,"7/20/2012","PROB",-100.7757749,41.03740677,"Region_7",17.17817457,"Yes","MAN_MADE",641.0234072,916,10190018,"NLA_NE-10010","SPL","Good","Fair","Poor","Eutrophic",27.0978674398321,5.16170486185479e-05,1.90483803691039e-06
"57",1000085,1.058,310,"NLA12_NE-103",1,"7/19/2012","PROB",-100.7041992,40.36174467,"Region_7",8.264109252,"No","MAN_MADE",644.4589529,787.34,10250007,"NLA_NE-10083","SPL","Good","Poor","Poor","Hypereutrophic",7.54697310190158,7.55336617405583e-05,1.00084710413936e-05
"58",1000086,0.33,241,"NLA12_NE-114",1,"7/22/2012","PROB",-98.90067497,41.32198742,"Region_7",8.264109252,"No","MAN_MADE",1117.854469,657.71,10210003,"NLA_NE-10086","SPL","Good","Good","Poor","Mesotrophic",3.02792926575835,2.3559648747055e-05,7.78077909992211e-06
"59",1000087,0.968,53,"NLA12_WA-106",1,"7/24/2012","PROB",-122.4113066,46.49649104,"Region_10",22.51026318,"No","MAN_MADE",84.03295981,238.87,17080005,"NLA_WA-10017","WMT","Poor","Poor","Fair","Hypereutrophic",40.3876250743415,6.91083029913615e-05,1.71112569417374e-06
"60",1000088,2.304,237,"NLA12_NE-104",1,"7/23/2012","PROB",-98.65979155,41.76432182,"Region_7",15.60063964,"No","MAN_MADE",50.56218763,610.76,10210010,"NLA_NE-10087","SPL","Good","Poor","Poor","Hypereutrophic",21.4972524718328,0.000164489183979439,7.65163753809767e-06
"61",1000091,0.489,18,"NLA12_MI-117",1,"7/24/2012","PROB",-83.50544419,42.61885968,"Region_5",278.9036241,"Yes","NATURAL",30.03726716,284.65,4090005,"NLA_MI-10005","UMW","Good","Good","Good","Mesotrophic",60.0738107812046,3.49111158706361e-05,5.8113702820995e-07
"62",1000092,0.588,46,"NLA12_MI-102",1,"7/24/2012","PROB",-86.44955883,43.94203389,"Region_5",12.79786549,"Yes","NATURAL",239.2614117,176.99,4060101,"NLA_MI-10056","UMW","Good","Good","Poor","Hypereutrophic",28.2662582603481,4.19790104947526e-05,1.48512796098098e-06
"63",1000093,1.999,96,"NLA12_NE-133",1,"7/24/2012","PROB",-98.56233501,42.10977927,"Region_7",20.93149912,"No","NATURAL",73.73345552,621.19,10220001,"NLA_NE-10127","SPL","Fair","Good","Good","Mesotrophic",46.0458388618206,0.000142714357107161,3.0993974837864e-06
